City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
329,nevada,39.2502,-116.7512,26.95,15,44,0.75,US,1690040842
330,saint-francois,46.4154,3.9054,27.04,34,0,4.12,FR,1690041102
331,abepura,-2.6333,140.5833,25.45,83,20,1.54,ID,1690041102
332,flin flon,54.7682,-101.865,18.91,63,20,3.6,CA,1690041103
333,akyazi,40.685,30.6222,33.1,58,0,1.43,TR,1690041103
334,kalamnuri,19.6667,77.3333,23.19,93,100,7.03,IN,1690040950
335,port mathurin,-19.6833,63.4167,23.41,70,0,10.11,MU,1690041103
336,masuguru,-11.3667,38.4167,28.93,35,85,2.39,TZ,1690041103
337,aykhal,66.0,111.5,19.06,54,79,4.41,RU,1690040948
338,constitucion,-35.3333,-72.4167,12.52,79,30,2.84,CL,1690041104
339,oak hill,37.9723,-81.1487,25.0,66,69,1.7,US,1690040824
340,manicore,-5.8092,-61.3003,30.97,51,0,3.6,BR,1690041105
341,korla,41.7597,86.1469,31.2,23,28,3.61,CN,1690041062
342,revda,56.801,59.9303,15.34,96,38,3.09,RU,1690041105
343,mujiayingzi,42.1167,118.7833,17.91,95,100,3.73,CN,1690041105
344,nagqu,31.5,92.0,7.28,90,100,1.56,CN,1690041106
345,nieuw amsterdam,5.8833,-55.0833,32.79,62,75,3.6,SR,1690041106
346,shujaabad,29.8797,71.2931,34.03,58,100,5.95,PK,1690041106
347,balqash,46.8481,74.995,27.26,24,24,3.88,KZ,1690041106
348,thabazimbi,-24.5917,27.4116,16.84,45,2,2.19,ZA,1690041106
349,rawson,-43.3002,-65.1023,11.37,50,5,6.13,AR,1690041106
350,wabag,-5.4781,143.7021,13.48,98,90,0.92,PG,1690041107
351,albu kamal,34.45,40.9186,39.98,9,0,4.94,SY,1690041107
352,porto murtinho,-21.6989,-57.8825,34.28,21,0,8.02,BR,1690041107
353,livingston,55.9029,-3.5226,16.0,93,100,6.69,GB,1690041107
354,petropavlovsk-kamchatsky,53.0452,158.6483,13.33,100,0,3.0,RU,1690041107
355,vorkuta,67.5,64.0,20.09,80,100,1.51,RU,1690041108
356,bahir dar,11.5936,37.3908,17.67,91,94,2.09,ET,1690041108
357,mabaruma,8.2,-59.7833,30.0,79,75,5.14,GY,1690041108
358,saint-joseph,-21.3667,55.6167,21.21,80,45,6.88,RE,1690041108
359,acarau,-2.8856,-40.12,31.06,45,0,7.54,BR,1690041108
